a_o,per_odo,c_digo_programa,programa,metodologia,cantidad_matriculados,hombres,mujeres,comuna_1,comuna_2,comuna_3,comuna_4,comuna_5,comuna_6,comuna_7,comuna_8,comuna_9,comuna_10,comuna_11,comuna_12,comuna_13,comuna_14,comuna_15,comuna_16,corregimientos,otros_municipios,recibieron_apoyos_financieros,recibieron_apoyos_acad_micos
2019,1,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,138,49,89,13,4,8,19,2,4,22,11,1,1,0,0,17,0,0,2,30,4,94,40
2019,1,102329,TECNOLOGÍA EN GESTIÓN COMUNITARIA,Presencial,340,77,263,35,26,26,23,23,39,36,20,17,2,0,2,36,0,0,3,43,9,35,29
2019,1,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONÓMICOS,Presencial,647,290,357,54,27,70,31,39,69,104,33,44,1,5,12,51,0,2,10,40,55,185,34
2019,1,53431,TECNOLOGÍA EN GESTIÓN TURÍSTICA,Virtual,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019,1,106303,TECNOLOGIA EN GESTION TURISTICA (VIRTUAL),Virtual,147,43,104,8,6,10,5,4,5,16,7,34,0,0,1,9,0,0,0,11,31,0,0
2019,1,107468,TECNOLOGIA EN SEGURIDAD Y SALUD EN EL TRABAJO,Presencial,74,17,57,10,7,7,7,1,6,13,7,3,0,0,0,4,0,0,0,9,0,23,30
2019,2,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,412,102,310,9,5,32,35,13,22,57,6,20,4,5,12,25,2,1,39,27,98,202,118
2019,2,101313,ARQUITECTURA,Presencial,508,281,227,13,10,26,29,23,18,59,20,40,12,8,13,27,2,5,25,19,159,234,60
2019,2,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,319,68,251,9,6,14,19,21,22,29,8,20,5,2,6,12,,9,16,12,109,169,68
2019,2,17498,BIOTECNOLOGIA,Presencial,162,51,111,8,2,5,10,10,3,24,5,8,1,2,5,5,,1,10,6,57,92,70
2019,2,6644,CONSTRUCCIONES CIVILES,Presencial,622,398,224,31,17,29,42,24,30,72,22,26,7,4,14,33,,8,29,40,194,267,167
2019,2,53935,ESPECIALIZACION EN CONSTRUCCION SOSTENIBLE,Presencial,16,10,6,,0,0,0,1,1,0,0,3,0,2,2,0,0,0,2,1,4,15,0
2019,2,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,12,5,7,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,3,0,3,10,0
2019,2,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,16,8,8,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,10,10,1
2019,2,54263,INGENIERIA AMBIENTAL,Presencial,573,198,375,17,16,29,21,36,30,72,17,38,10,3,8,27,1,5,15,31,197,371,246
2019,2,106264,INGENIERIA COMERCIAL,Presencial,71,30,41,5,2,6,4,4,8,15,2,4,0,0,2,2,0,1,3,4,9,43,52
2019,2,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,532,167,365,43,21,31,36,22,46,89,9,33,3,6,15,28,1,5,21,56,67,266,69
2019,2,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,87,50,37,3,1,5,7,5,6,11,2,10,1,2,3,5,0,3,3,4,16,51,27
2019,2,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,491,256,235,35,18,40,40,25,40,66,31,30,4,3,7,25,0,4,14,33,76,189,137
2019,2,53915,TECNOLOGIA EN GASTRONOMIA,Presencial,6,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,1,0
2019,2,106102,TECNOLOGIA EN GESTION AMBIENTAL,Virtual,272,98,174,27,7,13,16,17,11,24,14,17,1,0,1,21,0,1,3,38,61,10,4
2019,2,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,168,62,106,21,5,10,16,4,6,26,12,9,1,0,0,17,0,0,2,32,7,130,74
2019,2,102329,TECNOLOGIA EN GESTION COMUNITARIA,Presencial,496,110,386,59,30,34,33,26,45,58,34,33,2,0,2,53,0,0,3,71,13,161,190
2019,2,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONOMICOS,Presencial,694,318,376,60,32,76,32,37,69,111,39,48,1,6,12,61,0,1,12,49,48,276,189
2019,2,106303,TECNOLOGIA EN GESTION TURISTICA (VIRTUAL),Virtual,162,45,117,13,6,11,8,5,6,25,5,23,0,0,2,17,0,0,0,14,27,8,12
2019,2,107468,TECNOLOGIA EN SEGURIDAD Y SALUD EN EL TRABAJO,Presencial,118,26,92,16,8,14,6,7,12,25,10,5,0,0,0,8,0,0,0,7,0,66,90
2022,1,101313,ARQUITECTURA,Presencial,485,263,222,14,9,22,36,29,20,64,21,39,7,4,11,36,3,5,25,15,125,179,211
2022,1,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,394,84,310,11,7,27,19,14,32,38,11,23,4,5,5,18,1,6,19,18,136,211,145
2022,1,17498,BIOTECNOLOGÍA,Presencial,219,72,147,9,6,7,11,12,13,27,5,9,2,4,6,13,1,3,15,10,66,95,97
2022,1,6644,CONSTRUCCIONES CIVILES,Presencial,505,327,178,27,12,20,33,18,36,60,26,35,5,2,9,45,2,9,24,34,108,203,171
2022,1,53935,ESPECIALIZACIÓN EN CONSTRUCCIÓN SOSTENIBLE,Presencial,18,11,7,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,2,0,11,14,4
2022,1,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,14,7,7,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,1,0,7,10,0
2022,1,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,15,10,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,11,9,2
2022,1,54263,INGENIERIA AMBIENTAL,Presencial,461,140,321,20,9,25,30,30,36,44,14,34,5,3,9,35,1,2,23,30,111,232,271
2022,1,106264,INGENIERÍA COMERCIAL,Presencial,161,73,88,12,4,10,9,5,14,26,5,16,2,0,5,13,0,1,7,7,25,57,92
2022,1,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,574,195,379,89,20,31,54,21,61,85,10,40,2,4,13,45,1,6,17,44,31,238,99
2022,1,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,211,111,100,9,5,11,18,10,16,22,3,17,1,3,7,20,1,4,16,13,35,87,70
